energy_sources,load_zones,period,planned_capacity_mw
Uranium,Anhui,2023,940.0
Uranium,Anhui,2028,2350.0
Uranium,Anhui,2033,2350.0
Uranium,Anhui,2038,2350.0
Uranium,Anhui,2043,2350.0
Uranium,Anhui,2048,2350.0
Uranium,Fujian,2023,5642.0
Uranium,Fujian,2028,14104.0
Uranium,Fujian,2033,14104.0
Uranium,Fujian,2038,14104.0
Uranium,Fujian,2043,14104.0
Uranium,Fujian,2048,14104.0
Uranium,Guangdong,2023,10113.0
Uranium,Guangdong,2028,25282.0
Uranium,Guangdong,2033,25282.0
Uranium,Guangdong,2038,25282.0
Uranium,Guangdong,2043,25282.0
Uranium,Guangdong,2048,25282.0
Uranium,Guangxi,2023,812.0
Uranium,Guangxi,2028,2030.0
Uranium,Guangxi,2033,2030.0
Uranium,Guangxi,2038,2030.0
Uranium,Guangxi,2043,2030.0
Uranium,Guangxi,2048,2030.0
Uranium,Hainan,2023,489.0
Uranium,Hainan,2028,1222.0
Uranium,Hainan,2033,1222.0
Uranium,Hainan,2038,1222.0
Uranium,Hainan,2043,1222.0
Uranium,Hainan,2048,1222.0
Uranium,Hubei,2023,1880.0
Uranium,Hubei,2028,4700.0
Uranium,Hubei,2033,4700.0
Uranium,Hubei,2038,4700.0
Uranium,Hubei,2043,4700.0
Uranium,Hubei,2048,4700.0
Uranium,Hunan,2023,2820.0
Uranium,Hunan,2028,7050.0
Uranium,Hunan,2033,7050.0
Uranium,Hunan,2038,7050.0
Uranium,Hunan,2043,7050.0
Uranium,Hunan,2048,7050.0
Uranium,Jiangsu,2023,4158.0
Uranium,Jiangsu,2028,10394.0
Uranium,Jiangsu,2033,10394.0
Uranium,Jiangsu,2038,10394.0
Uranium,Jiangsu,2043,10394.0
Uranium,Jiangsu,2048,10394.0
Uranium,Jiangxi,2023,1410.0
Uranium,Jiangxi,2028,3525.0
Uranium,Jiangxi,2033,3525.0
Uranium,Jiangxi,2038,3525.0
Uranium,Jiangxi,2043,3525.0
Uranium,Jiangxi,2048,3525.0
Uranium,Liaoning,2023,3391.0
Uranium,Liaoning,2028,8478.0
Uranium,Liaoning,2033,8478.0
Uranium,Liaoning,2038,8478.0
Uranium,Liaoning,2043,8478.0
Uranium,Liaoning,2048,8478.0
Uranium,Shandong,2023,5027.0
Uranium,Shandong,2028,12567.0
Uranium,Shandong,2033,12567.0
Uranium,Shandong,2038,12567.0
Uranium,Shandong,2043,12567.0
Uranium,Shandong,2048,12567.0
Uranium,Zhejiang,2023,5283.0
Uranium,Zhejiang,2028,13207.0
Uranium,Zhejiang,2033,13207.0
Uranium,Zhejiang,2038,13207.0
Uranium,Zhejiang,2043,13207.0
Uranium,Zhejiang,2048,13207.0
Wind,East_Inner_Mongolia,2023,10000.0
Wind,East_Inner_Mongolia,2028,10000.0
Wind,East_Inner_Mongolia,2033,10000.0
Wind,East_Inner_Mongolia,2038,22000.0
Wind,East_Inner_Mongolia,2043,30000.0
Wind,East_Inner_Mongolia,2048,30000.0
Wind,Gansu,2023,10000.0
Wind,Gansu,2028,10000.0
Wind,Gansu,2033,10000.0
Wind,Gansu,2038,22000.0
Wind,Gansu,2043,30000.0
Wind,Gansu,2048,30000.0
Wind,Hebei,2023,10000.0
Wind,Hebei,2028,10000.0
Wind,Hebei,2033,10000.0
Wind,Hebei,2038,22000.0
Wind,Hebei,2043,30000.0
Wind,Hebei,2048,30000.0
Wind,Jiangsu,2023,10000.0
Wind,Jiangsu,2028,10000.0
Wind,Jiangsu,2033,10000.0
Wind,Jiangsu,2038,22000.0
Wind,Jiangsu,2043,30000.0
Wind,Jiangsu,2048,30000.0
Wind,Jilin,2023,10000.0
Wind,Jilin,2028,10000.0
Wind,Jilin,2033,10000.0
Wind,Jilin,2038,21392.0
Wind,Jilin,2043,28986.0
Wind,Jilin,2048,28986.0
Wind,West_Inner_Mongolia,2023,10000.0
Wind,West_Inner_Mongolia,2028,10000.0
Wind,West_Inner_Mongolia,2033,10000.0
Wind,West_Inner_Mongolia,2038,22000.0
Wind,West_Inner_Mongolia,2043,30000.0
Wind,West_Inner_Mongolia,2048,30000.0
Wind,Xinjiang,2023,10000.0
Wind,Xinjiang,2028,10000.0
Wind,Xinjiang,2033,10000.0
Wind,Xinjiang,2038,22000.0
Wind,Xinjiang,2043,30000.0
Wind,Xinjiang,2048,30000.0
